,entry,exit,profit,draw_down,run_up,draw_down_percent,run_up_percent
0,61.89,57.39,-7.270964614638875,56.41,65.37,-8.854419130715796,5.6228793019873935
1,57.71,58.44,1.2649454167388718,57.1,59.9,-1.0570091838502882,3.7948362502165933
2,58.53,56.95,-2.6994703570818346,56.58,61.04,-3.3316248077908783,4.28839911156671
3,58.8,54.46,-7.380952380952377,54.46,58.8,-7.380952380952377,0.0
4,57.06,65.4,14.61619348054679,56.17,65.4,-1.5597616543988835,14.61619348054679
5,61.4,58.07,-5.423452768729642,57.04,62.58,-7.100977198697067,1.9218241042345374
6,57.84,57.69,-0.2593360995850724,57.1,64.37,-1.279391424619647,11.289764868603047
7,48.63,47.0,-3.3518404277195213,46.44,49.08,-4.503392967304142,0.9253547193090572
8,47.34,46.92,-0.8871989860583018,46.82,47.67,-1.0984368398817113,0.6970849176172411
9,48.45,48.73,0.577915376676974,47.39,51.23,-2.187822497420022,5.737874097007212
10,48.97,48.18,-1.613232591382474,47.55,48.97,-2.8997345313457212,0.0
11,48.58,48.48,-0.20584602717167444,47.7,48.93,-1.8114450391107373,0.7204610951008661
12,43.5,44.66,2.6666666666666616,43.39,45.1,-0.25287356321839205,3.67816091954023
13,44.63,45.31,1.5236388079767016,44.03,46.95,-1.344387183508855,5.198297109567562
14,46.49,44.6,-4.065390406539038,44.24,48.47,-4.839750483975047,4.258980425898029
15,45.76,45.5,-0.5681818181818121,45.32,47.82,-0.9615384615384581,4.50174825174825
16,47.31,49.92,5.516804058338609,46.81,51.45,-1.0568590150073942,8.750792644261264
17,47.21,54.73,15.928828638000425,46.64,54.73,-1.207371319635675,15.928828638000425
18,60.3,57.03,-5.422885572139302,57.03,60.3,-5.422885572139302,0.0
19,58.2,55.89,-3.9690721649484617,55.23,58.5,-5.10309278350517,0.5154639175257714
20,55.27,54.02,-2.2616247512212806,53.62,56.69,-2.9853446716121,2.5692057173873684
21,55.86,64.42,15.324024346580734,55.16,64.42,-1.253132832080206,15.324024346580734
22,58.9,62.33,5.823429541595915,58.26,66.25,-1.0865874363327643,12.478777589134138
23,67.97,78.55,15.565690745917315,67.32,78.55,-0.9563042518758391,15.565690745917315
