,entry,exit,profit,draw_down,run_up
85,135.32,134.66,-0.48773278155482824,134.66,135.32
86,120.59,120.0,-0.48926113276391847,120.0,120.59
87,120.0,118.47,-1.275000000000004,118.47,122.2
88,121.76,120.7,-0.8705650459921221,120.7,121.99
89,119.01,117.75,-1.0587345601209996,117.75,120.62
90,119.74,119.11,-0.5261399699348579,119.11,120.19
91,119.88,119.43,-0.37537537537536414,119.43,120.29
92,121.58,120.83,-0.6168777759499866,120.83,127.75
93,123.0,122.33,-0.5447154471544757,122.33,123.37
94,123.1,122.23,-0.7067424857839066,122.23,123.1
95,122.48,121.68,-0.6531678641410799,121.68,122.48
96,98.44,98.12,-0.3250711093051528,98.12,99.0
97,98.0,97.67,-0.3367346938775495,97.67,98.64
98,98.7,98.36,-0.34447821681864443,98.36,98.77
99,98.36,97.79,-0.5795038633590877,97.79,98.36
100,77.97,77.64,-0.42323970757983664,77.64,79.29
101,79.09,79.19,0.1264382349222437,79.09,81.31
102,79.8,78.94,-1.0776942355889663,78.94,80.17
103,81.26,80.74,-0.6399212404627264,80.74,81.26
104,80.74,80.47,-0.33440673767648477,80.47,82.96
105,81.33,80.87,-0.5655969506946912,80.87,81.33
106,80.19,79.89,-0.37411148522259463,79.89,80.19
107,79.97,83.49,4.4016506189821225,79.84,89.46
108,84.79,84.29,-0.589692180681689,84.29,85.1
109,84.58,83.5,-1.2768976117285336,83.5,84.58
110,76.86,76.51,-0.45537340619307143,76.51,76.86
111,79.0,78.53,-0.5949367088607604,78.53,79.3
112,80.64,85.3,5.778769841269837,80.64,93.25
113,85.3,85.0,-0.3516998827666984,85.0,85.44
114,85.0,84.09,-1.070588235294112,84.09,85.15
115,85.09,84.5,-0.6933834763191982,84.5,85.09
116,83.92,83.37,-0.6553860819828339,83.37,90.32
117,84.28,83.85,-0.5102040816326592,83.85,84.28
118,84.45,84.01,-0.5210183540556468,84.01,84.45
119,76.2,75.93,-0.35433070866141003,75.93,76.59
120,74.45,74.2,-0.335795836131636,74.2,74.95
121,74.77,74.49,-0.37448174401497614,74.49,74.97
122,59.69,59.44,-0.41883062489529443,59.44,60.02
123,60.01,59.7,-0.5165805699050119,59.7,60.2
124,56.46,56.04,-0.7438894792773709,56.04,57.16
125,56.69,56.22,-0.8290703827835588,56.22,56.77
126,56.75,56.51,-0.4229074889867901,56.51,56.75
127,56.82,56.64,-0.31678986272438703,56.64,62.0
128,57.66,57.43,-0.3988900450919153,57.43,58.55
129,58.4,57.46,-1.6095890410958824,57.46,58.4
130,55.97,55.74,-0.41093442915847156,55.74,55.97
131,56.3,56.12,-0.3197158081705176,56.12,56.3
132,56.12,55.82,-0.5345687811831756,55.82,56.41
133,56.39,55.82,-1.0108175208370263,55.82,57.29
134,57.39,57.15,-0.4181913225300593,57.15,58.16
135,57.99,57.71,-0.4828418692878089,57.71,58.12
136,58.0,57.76,-0.4137931034482789,57.76,58.0
137,57.18,56.95,-0.4022385449457766,56.95,57.18
