,timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional,value,rate,number,buy,sell
0,2017-06-01 00:00:00+00:00,XBTUSD,2191.4,2340.0,2155.0,2304.1,50050,53059287,2256.3686,2500,2351553085618,23515.53085618,53059287.0,,0.16875,14.0,,
1,2017-06-02 00:00:00+00:00,XBTUSD,2304.1,2465.7,2302.0,2416.8,45572,57279425,2394.4067,60,2392274282144,23922.74282144001,57279425.0,,0.16875,14.0,,
2,2017-06-03 00:00:00+00:00,XBTUSD,2416.8,2501.2,2376.0,2497.9,29519,41297438,2434.5116,20,1696351952632,16963.519526319986,41297438.0,,0.16875,14.0,,
3,2017-06-04 00:00:00+00:00,XBTUSD,2497.9,2582.5,2450.0,2543.4,41882,54746338,2533.4414,234,2160991379308,21609.913793079995,54746338.0,,0.16875,14.0,,
4,2017-06-05 00:00:00+00:00,XBTUSD,2543.4,2569.4,2464.2,2529.3,31045,43808075,2518.7014,4,1739323597383,17393.235973829975,43808075.0,,0.16875,14.0,,
5,2017-06-06 00:00:00+00:00,XBTUSD,2529.3,2723.4,2523.3,2715.4,37262,52810719,2625.9815,100,2011113927665,20111.139276649992,52810719.0,,0.16875,14.0,,
6,2017-06-07 00:00:00+00:00,XBTUSD,2715.4,2955.0,2703.2,2897.9,80482,147030693,2837.765,400,5181335978465,51813.35978465009,147030693.0,,0.16875,14.0,,
7,2017-06-08 00:00:00+00:00,XBTUSD,2897.9,2914.1,2610.0,2667.6,62801,103352659,2766.0222,1406,3736600010408,37366.00010408001,103352659.0,,0.16875,14.0,,
8,2017-06-09 00:00:00+00:00,XBTUSD,2667.6,2827.2,2589.0,2817.7,50502,68819033,2736.9516,1718,2514449176426,25144.491764259976,68819033.0,,0.16875,14.0,,
9,2017-06-10 00:00:00+00:00,XBTUSD,2817.7,2866.8,2788.3,2817.2,45410,46577238,2825.3376,333,1648578877945,16485.788779449984,46577238.0,,0.16875,14.0,,
10,2017-06-11 00:00:00+00:00,XBTUSD,2817.2,2930.5,2803.0,2922.0,41576,52286178,2875.381,99,1818424073333,18184.240733329996,52286178.0,,0.16875,14.0,,
11,2017-06-12 00:00:00+00:00,XBTUSD,2922.0,3017.0,2879.9,2994.8,44043,48306924,2945.1611,141,1640213611582,16402.13611581998,48306924.0,,0.16875,14.0,,
12,2017-06-13 00:00:00+00:00,XBTUSD,2994.8,3006.9,2470.0,2656.5,108589,187239903,2697.7447,300,6940673235166,69406.73235166,187239903.0,,0.16875,14.0,,
13,2017-06-14 00:00:00+00:00,XBTUSD,2656.5,2790.3,2635.1,2702.6,43277,63913652,2710.4678,55,2358060951912,23580.60951912,63913652.0,2677.371428571428,0.16875,14.0,,
14,2017-06-15 00:00:00+00:00,XBTUSD,2702.6,2798.9,2320.0,2432.9,85543,139982991,2555.1269,177,5478580686905,54785.80686905005,139982991.0,2644.775238095238,0.16875,14.0,,1.0
15,2017-06-16 00:00:00+00:00,XBTUSD,2432.9,2501.3,2095.5,2410.7,119130,179250376,2305.0504,150,7776595585976,77765.95585976007,179250376.0,2613.565206349206,0.16875,14.0,,1.0
16,2017-06-17 00:00:00+00:00,XBTUSD,2410.7,2518.6,2290.0,2471.0,62094,83294972,2429.8975,1743,3427968847727,34279.68847726997,83294972.0,2594.556512169312,0.16875,14.0,,1.0
17,2017-06-18 00:00:00+00:00,XBTUSD,2471.0,2678.1,2406.8,2626.3,49239,67003395,2560.0983,17975,2617271057871,26172.71057871003,67003395.0,2598.788977213404,0.16875,14.0,,
18,2017-06-19 00:00:00+00:00,XBTUSD,2626.3,2677.1,2457.0,2525.0,57890,76508816,2539.747,22242,3012471048615,30124.71048615006,76508816.0,2588.9504469182834,0.16875,14.0,,1.0
19,2017-06-20 00:00:00+00:00,XBTUSD,2525.0,2600.8,2485.2,2598.8,32266,42089739,2548.8747,1,1651314523101,16513.145231010007,42089739.0,2590.2637206625122,0.16875,14.0,,
20,2017-06-21 00:00:00+00:00,XBTUSD,2598.8,2802.5,2580.0,2736.8,39085,62478121,2690.9208,2400,2321848974402,23218.48974401997,62478121.0,2609.801891240844,0.16875,14.0,,
21,2017-06-22 00:00:00+00:00,XBTUSD,2736.8,2788.9,2595.0,2652.7,58035,85189260,2686.9441,1828,3170522048038,31705.220480379965,85189260.0,2615.521639075398,0.16875,14.0,,
22,2017-06-23 00:00:00+00:00,XBTUSD,2652.7,2730.0,2589.0,2699.9,33023,38506589,2674.0113,674,1440045796408,14400.457964080024,38506589.0,2626.7720871986785,0.16875,14.0,,
23,2017-06-24 00:00:00+00:00,XBTUSD,2699.9,2744.1,2649.1,2678.9,31260,30749419,2707.2392,134,1135847410421,11358.474104210009,30749419.0,2633.722475572188,0.16875,14.0,,
24,2017-06-25 00:00:00+00:00,XBTUSD,2678.9,2717.9,2502.0,2559.5,61731,66355372,2602.4723,2000,2549746472813,25497.46472812996,66355372.0,2623.8261454958965,0.16875,14.0,,1.0
25,2017-06-26 00:00:00+00:00,XBTUSD,2559.5,2635.2,2424.8,2507.9,66005,68277139,2530.6846,779,2698026434669,26980.264346690037,68277139.0,2608.3693260964437,0.16875,14.0,,1.0
26,2017-06-27 00:00:00+00:00,XBTUSD,2507.9,2549.0,2300.7,2420.1,105400,111425810,2424.0074,6091,4596792173681,45967.92173681015,111425810.0,2583.2667492835844,0.16875,14.0,,1.0
27,2017-06-28 00:00:00+00:00,XBTUSD,2420.1,2549.0,2257.7,2541.6,89975,104465173,2378.0082,159,4393043075149,43930.43075148999,104465173.0,2577.71118271244,0.16875,14.0,,1.0
28,2017-06-29 00:00:00+00:00,XBTUSD,2541.6,2594.5,2450.0,2558.3,53043,58060738,2527.3587,4075,2297322057012,22973.22057012001,58060738.0,2575.123025017448,0.16875,14.0,,1.0
29,2017-06-30 00:00:00+00:00,XBTUSD,2558.3,2600.2,2505.7,2532.7,41739,45231684,2553.0394,1,1771683681546,17716.836815460018,45231684.0,2569.466621681788,0.16875,14.0,,1.0
30,2017-07-01 00:00:00+00:00,XBTUSD,2532.7,2556.4,2443.5,2453.4,32171,38809769,2509.5362,60,1546512693267,15465.126932670002,38809769.0,2553.9910721242163,0.16875,14.0,,1.0
31,2017-07-02 00:00:00+00:00,XBTUSD,2453.4,2497.4,2390.0,2422.7,52228,47392832,2444.2706,5000,1938971911754,19389.71911753998,47392832.0,2536.4855958409876,0.16875,14.0,,1.0
32,2017-07-03 00:00:00+00:00,XBTUSD,2422.7,2533.9,2371.3,2510.2,48565,41945870,2452.2426,1,1710531229833,17105.31229832998,41945870.0,2532.980849728856,0.16875,14.0,,1.0
33,2017-07-04 00:00:00+00:00,XBTUSD,2510.2,2599.7,2478.4,2540.5,43627,43143932,2537.1052,1000,1700532285890,17005.322858899985,43143932.0,2533.9834030983416,0.16875,14.0,,
34,2017-07-05 00:00:00+00:00,XBTUSD,2540.5,2638.9,2540.1,2602.2,42751,40891823,2594.8415,10,1575904587488,15759.045874880025,40891823.0,2543.078949351896,0.16875,14.0,,
35,2017-07-06 00:00:00+00:00,XBTUSD,2602.2,2626.3,2532.3,2603.2,34856,31768789,2574.5327,34,1233976641345,12339.766413450025,31768789.0,2551.09508943831,0.16875,14.0,,
36,2017-07-07 00:00:00+00:00,XBTUSD,2603.2,2618.7,2563.0,2603.8,20326,21108431,2593.5628,10,813893882724,8138.938827239998,21108431.0,2558.1224108465353,0.16875,14.0,,
37,2017-07-08 00:00:00+00:00,XBTUSD,2603.8,2608.0,2473.0,2505.1,60210,47647945,2529.4043,189,1883799087136,18837.990871359943,47647945.0,2551.052756066997,0.16875,14.0,,1.0
38,2017-07-09 00:00:00+00:00,XBTUSD,2505.1,2558.0,2467.4,2554.4,45862,36015348,2514.9008,11,1432110954670,14321.109546699938,36015348.0,2551.4990552580643,0.16875,14.0,,
39,2017-07-10 00:00:00+00:00,XBTUSD,2554.4,2565.7,2498.3,2506.5,28270,26976481,2537.749,986,1063034272948,10630.342729480004,26976481.0,2545.499181223656,0.16875,14.0,,1.0
40,2017-07-11 00:00:00+00:00,XBTUSD,2506.5,2521.9,2271.0,2335.2,84678,94816230,2400.6722,108,3949663980721,39496.63980721001,94816230.0,2517.459290393835,0.16875,14.0,,1.0
41,2017-07-12 00:00:00+00:00,XBTUSD,2335.2,2397.8,2241.9,2304.8,69220,81063826,2333.3956,3287,3474075015446,34740.75015446,81063826.0,2489.104718341324,0.16875,14.0,,1.0
42,2017-07-13 00:00:00+00:00,XBTUSD,2304.8,2408.4,2231.8,2386.8,72673,79874625,2328.6682,2,3430092252483,34300.92252483003,79874625.0,2475.4640892291472,0.16875,14.0,,1.0
43,2017-07-14 00:00:00+00:00,XBTUSD,2386.8,2421.0,2310.6,2338.1,49663,42566065,2359.5479,5,1803992651602,18039.92651602,42566065.0,2457.1488773319275,0.16875,14.0,,1.0
44,2017-07-15 00:00:00+00:00,XBTUSD,2338.1,2354.8,2135.5,2208.4,70129,85136385,2235.2862,64,3808769433550,38087.69433549998,85136385.0,2423.9823603543373,0.16875,14.0,,1.0
45,2017-07-16 00:00:00+00:00,XBTUSD,2208.4,2221.5,1970.5,1974.0,124151,136364277,2063.9409,202,6607118091331,66071.18091330996,136364277.0,2363.984712307092,0.16875,14.0,,1.0
46,2017-07-17 00:00:00+00:00,XBTUSD,1974.0,2047.2,1810.0,1924.5,115681,155681818,1918.3548,5000,8115434866185,81154.34866185003,155681818.0,2305.386750666147,0.16875,14.0,,1.0
47,2017-07-18 00:00:00+00:00,XBTUSD,1924.5,2226.4,1910.0,2223.5,87347,121549945,2063.6853,100,5890043553770,58900.43553770002,121549945.0,2294.468517243994,0.16875,14.0,,1.0
48,2017-07-19 00:00:00+00:00,XBTUSD,2223.5,2387.0,2150.0,2303.0,110601,156111878,2279.514,370,6848552307085,68485.52307085019,156111878.0,2295.606048278128,0.16875,14.0,,
49,2017-07-20 00:00:00+00:00,XBTUSD,2303.0,2398.9,2220.0,2262.1,76348,121950935,2302.3438,100,5296833338803,52968.33338803004,121950935.0,2291.138575174378,0.16875,14.0,,1.0
50,2017-07-21 00:00:00+00:00,XBTUSD,2262.1,2959.2,2261.0,2883.1,148315,272443483,2604.5736,81,10460439452471,104604.39452471017,272443483.0,2370.0667651511276,0.16875,14.0,,
51,2017-07-22 00:00:00+00:00,XBTUSD,2883.1,2888.0,2610.0,2666.0,115031,200071318,2723.4599,11041,7346322199080,73463.22199079972,200071318.0,2409.524529797644,0.16875,14.0,,
52,2017-07-23 00:00:00+00:00,XBTUSD,2666.0,2906.0,2644.2,2833.2,92324,157951704,2799.1603,543,5642956347245,56429.563472449976,157951704.0,2466.0145924912913,0.16875,14.0,,
53,2017-07-24 00:00:00+00:00,XBTUSD,2833.2,2866.3,2650.0,2752.8,87454,140948241,2760.6007,1,5105768745970,51057.6874597002,140948241.0,2504.2526468257856,0.16875,14.0,,
54,2017-07-25 00:00:00+00:00,XBTUSD,2752.8,2817.0,2704.3,2764.4,72312,91497864,2760.8294,100,3314152958845,33141.52958844993,91497864.0,2538.9389605823476,0.16875,14.0,,
55,2017-07-26 00:00:00+00:00,XBTUSD,2764.4,2788.4,2438.4,2559.6,145042,229714016,2580.9116,264,8900519240798,89005.1924079801,229714016.0,2541.693765838035,0.16875,14.0,1.0,
56,2017-07-27 00:00:00+00:00,XBTUSD,2559.6,2609.9,2391.2,2530.2,112445,156631568,2487.0673,655,6297935999793,62979.3599979299,156631568.0,2540.161263726297,0.16875,14.0,,1.0
57,2017-07-28 00:00:00+00:00,XBTUSD,2530.2,2685.1,2512.6,2662.3,84141,104885818,2574.1351,302,4074638348989,40746.38348989006,104885818.0,2556.4464285627905,0.16875,14.0,,
58,2017-07-29 00:00:00+00:00,XBTUSD,2662.3,2828.0,2654.5,2782.0,100624,142053965,2746.4228,1719,5172331414683,51723.31414682997,142053965.0,2586.5202380877517,0.16875,14.0,,
59,2017-07-30 00:00:00+00:00,XBTUSD,2782.0,2784.7,2654.9,2692.5,87549,111150377,2707.9723,20,4104568376703,41045.683767030176,111150377.0,2600.6508730093847,0.16875,14.0,,
