,entry,exit,profit,draw_down,run_up,draw_down_percent,run_up_percent
0,59.24,57.12,-3.5786630654962903,57.12,59.74,-3.5786630654962903,0.8440243079000709
1,58.37,56.79,-2.7068699674490326,56.79,59.4,-2.7068699674490326,1.764605105362338
2,56.55,68.96,21.94518125552607,56.17,68.96,-0.671971706454455,21.94518125552607
3,60.57,60.45,-0.1981178801386818,60.24,62.58,-0.544824170381375,3.3184744923229204
4,57.57,60.15,4.4815007816570995,56.58,63.26,-1.719645648775403,9.883619940941468
5,52.19,48.03,-7.9708756466756014,48.03,52.19,-7.9708756466756014,0.0
6,49.53,47.88,-3.331314354936399,47.88,50.03,-3.331314354936399,1.009489198465574
7,48.88,47.87,-2.066284779050742,47.87,48.89,-2.066284779050742,0.020458265139122744
8,44.68,45.03,0.7833482542524584,44.03,46.46,-1.4547896150402861,3.9838854073410923
9,46.26,45.96,-0.6485084306095956,45.75,48.47,-1.1024643320363126,4.777345438824043
10,45.56,45.69,0.28533801580332696,45.41,47.06,-0.3292361720807824,3.292361720807735
11,47.74,46.92,-1.717637201508171,46.92,47.74,-1.717637201508171,0.0
12,48.8,58.79,20.471311475409838,48.75,58.79,-0.10245901639344135,20.471311475409838
13,55.16,54.26,-1.6316171138506141,54.14,56.25,-1.8491660623640271,1.9760696156635227
14,54.25,61.08,12.589861751152064,51.98,64.82,-4.18433179723503,19.48387096774191
15,61.9,58.19,-5.993537964458806,58.19,61.9,-5.993537964458806,0.0
16,60.49,62.6,3.4881798644404105,60.49,66.25,0.0,9.522235080178532
17,64.51,70.28,8.944349713222755,64.51,76.65,0.0,18.818787784839564
